,Forget Acc ↓,Retain Acc ↑,MIA AUC ↓,Test Utility ↑
No Unlearning,1.0,0.9736842105263158,0.3230263157894737,0.9791666666666666
Retrain Oracle,0.0,0.9736842105263158,0.0,0.7708333333333334
Gradient Ascent,1.0,1.0,0.0,1.0
Random Label,1.0,1.0,0.006578947368421053,1.0
